Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Accident Latitude,Accident Longitude,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Shutdown Date/Time,Restart Date/Time,Public Evacuations
2014-04-14 15:24:00,"PLAINS PIPELINE, L.P.",JAL BASIN STATION,ONSHORE,TANK,CRUDE OIL,,,JAL,LEA,NM,32.080668,-103.178983,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,500.0,,500.0,0.0,NO,NO,YES,2014-04-14 15:25:00,2014-04-14 15:55:00,0.0
2014-04-15 23:05:00,KINDER MORGAN WINK PIPELINE LP,"WINK TO EL PASO 20""",ONSHORE,UNDERGROUND,CRUDE OIL,,,ORLA,CULBERSON,TX,31.85330114,-104.53896522,CORROSION,EXTERNAL,173.0,,0.0,173.0,NO,NO,YES,2014-04-15 23:05:00,2014-04-16 01:50:00,0.0
2014-04-16 10:31:00,"PLAINS PIPELINE, L.P.",CATARINA NORTH TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,,,DIMMIT,TX,28.37,-99.641,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,1.0,,1.0,0.0,NO,NO,NO,,,0.0
2014-04-16 12:15:00,"BUCKEYE PARTNERS, LP",TOLEDO SUN JUNCTION TO SUN TERMINAL,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",,OREGON,LUCAS,OH,41.621205,-83.485937,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,5.0,,2.74,2.26,NO,NO,YES,2014-04-16 08:00:00,2014-04-22 16:00:00,0.0
2014-04-16 23:45:00,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",LINE 3/DR,ONSHORE,ABOVEGROUND,CRUDE OIL,,,DEER RIVER,ITASCA,MN,47.32556,-93.76389,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.36,,0.36,0.0,NO,NO,YES,2014-04-16 23:45:00,2014-04-17 02:09:00,0.0
2014-04-17 09:49:00,ENTERPRISE PRODUCTS OPERATING LLC,BEAUMONT TERMINAL,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),,BEAUMONT,JEFFERSON,TX,30.010811,-94.056361,ALL OTHER CAUSES,MISCELLANEOUS,0.01,,0.0,0.01,YES,NO,NO,,,0.0
2014-04-18 14:07:00,MID - VALLEY PIPELINE CO,LONGVIEW STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,LONGVIEW,GREGG,TX,32.4836,-94.8305,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,3.0,,2.0,1.0,NO,NO,YES,2014-04-18 14:07:00,2014-04-18 17:30:00,0.0
2014-04-22 01:34:00,PHILLIPS 66 PIPELINE LLC,LAKE CHARLES PIPELINE FACILITY,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,SULPHUR,CALCASIEU,LA,30.170532,-93.339358,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.9,,0.9,0.0,NO,NO,YES,2014-04-22 01:34:00,2014-04-22 02:00:00,0.0
2014-04-22 11:00:00,"SHELL PIPELINE CO., L.P.",PT. ARTHUR PRODUCTS STATION,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),,PORT ARTHUR,JEFFERSON,TX,29.9006722,-94.0055528,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,3.0,,3.0,0.0,NO,NO,NO,,,0.0
2014-04-23 21:12:00,ENTERPRISE CRUDE PIPELINE LLC,WILDFIRE 1 GASSO PUMP STATION,ONSHORE,ABOVEGROUND,CRUDE OIL,,,ODESSA,MIDLAND,TX,31.718902,-102.21213,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,100.0,,100.0,0.0,NO,NO,YES,2014-04-23 21:12:00,2014-04-24 10:30:00,0.0
